Date,State,Total Cases,Confirmed New C19 Case,Total Death,Confirmed New C19 Death
2021-03-06,NY,"938,986","3,568","18,201",35
2021-07-02,NY,"1,157,893",243,"19,933",1
2021-06-10,TX,"2,964,503","2,475","51,141",22
2021-02-23,NY,"900,510","3,122","17,798",43
2020-12-13,TX,"1,472,711","8,337","26,962",195
2021-08-09,NY,"1,187,342","1,681","20,020",6
2021-09-21,NY,"1,310,574","3,611","20,745",29
2021-11-30,TX,"4,316,162","6,276","72,607",78
2020-11-10,TX,"1,051,899","12,935","20,825",150
2021-02-25,NY,"907,769","4,433","17,893",47
2021-08-25,TX,"3,496,374","24,115","54,455",233
2021-08-03,NY,"1,176,467","1,488","19,991",1
2020-10-11,TX,"792,478","2,418","17,599",51
2020-10-21,NY,"232,460","1,187","9,166",2
2021-09-07,NY,"1,264,076","2,262","20,436",26
2021-03-23,TX,"2,752,288","4,595","48,349",56
2021-09-01,TX,"3,611,990","21,511","55,955",320
2020-11-24,TX,"1,217,837","16,580","23,167",197
2021-02-10,TX,"2,517,453","12,897","43,534",228
2021-04-26,NY,"1,111,096","1,696","19,343",23
2021-07-04,NY,"1,158,205",161,"19,935",2
2021-02-18,TX,"2,574,194","3,131","44,954",186
2020-10-03,NY,"217,475","1,019","9,057",7
2021-08-21,TX,"3,433,281","21,787","53,928",190
2020-10-13,TX,"800,256","5,130","17,741",71
2021-12-09,TX,"4,359,697","4,101","73,227",80
2021-02-25,TX,"2,621,155","7,363","46,033",131
2021-05-17,NY,"1,141,984",798,"19,645",7
2021-12-18,NY,"1,708,930","10,319","22,992",48
2021-08-13,TX,"3,292,180","13,614","52,931",144
2021-07-28,TX,"3,088,316","12,880","51,949",59
2021-04-24,TX,"2,862,938","2,449","49,722",39
2020-10-19,TX,"828,527","4,748","18,216",85
2021-07-17,NY,"1,161,724",402,"19,957",1
2021-12-19,NY,"1,719,004","10,074","23,031",39
2021-09-04,TX,"3,678,922","17,144","56,903",305
2021-06-06,NY,"1,153,222",309,"19,830",12
2020-12-26,TX,"1,660,551","2,694","29,948",230
2021-05-06,TX,"2,898,578","2,360","50,171",39
2021-10-22,NY,"1,412,017","2,735","21,518",20
2021-03-03,TX,"2,663,414","7,822","46,753",115
2021-04-08,NY,"1,057,251","4,553","18,958",14
2021-10-08,TX,"4,113,124","8,431","66,057",367
2021-03-03,NY,"927,750","3,389","18,092",28
2021-08-02,NY,"1,174,979",941,"19,990",0
2021-06-13,NY,"1,154,953",200,"19,872",5
2021-10-07,NY,"1,363,979","3,678","21,118",20
2021-06-27,TX,"2,984,340",318,"51,422",13
2020-12-08,NY,"385,232","5,874","10,440",58
2020-11-17,NY,"283,503","3,154","9,544",26
2021-07-31,NY,"1,172,784","1,368","19,985",2
2021-09-16,TX,"3,883,678","18,683","59,980",372
2021-09-25,NY,"1,325,098","3,798","20,842",24
2020-11-20,TX,"1,168,925","13,795","22,463",175
2021-05-15,TX,"2,919,239","1,983","50,461",39
2020-12-05,NY,"368,246","7,532","10,274",57
2021-05-31,TX,"2,943,844",144,"50,928",19
2020-11-07,TX,"1,027,237","9,560","20,399",116
2021-08-25,NY,"1,224,985","2,393","20,196",11
2021-09-05,NY,"1,259,355","2,869","20,392",22
2021-08-12,NY,"1,193,699","2,444","20,052",13
2021-07-27,NY,"1,168,038",775,"19,976",1
2021-08-14,NY,"1,198,595","2,322","20,069",9
2020-12-25,NY,"503,243","8,275","12,000",88
2021-08-26,NY,"1,228,157","3,172","20,212",16
2021-11-01,TX,"4,223,527","1,211","70,000",19
2021-09-23,NY,"1,316,837","3,294","20,799",29
2021-12-14,TX,"4,380,886","4,641","73,477",68
2020-11-05,NY,"251,352","1,930","9,313",12
2021-01-22,NY,"751,375","8,837","15,300",116
2021-04-02,TX,"2,790,160","3,518","48,816",43
2021-02-27,NY,"915,323","3,769","17,964",31
2021-07-26,TX,"3,066,674","1,565","51,853",5
